nome_completo,filiacao_pai,filiacao_mae,data_nascimento,sexo,naturalidade,local_tirou_cidade,local_tirou_estado,estado_completo,data_emissao,validade_identidade,orgao_emissor,cpf
Dom Gomes,Otávio Azevedo,Manuella Fernandes,08/07/1966,M,Cassiano do Oeste - ES,Mendes,PR,Estado do Paraná,28/03/2012,28/03/2020,Instituto de Identificacao,427.806.605-26
Carolina Peixoto,Luiz Otávio Peixoto,Esther Pinto,27/05/1989,M,Leão - RN,Leão,TO,Estado do Tocantins,30/08/2016,30/08/2025,Instituto de Identificacao / SSP TO,245.533.483-37
Maria Isis Machado,Rhavi Rodrigues,Lavínia Cavalcante,16/03/2019,F,Pereira - AL,da Mota da Praia,MG,Estado de Minas Gerais,28/05/2017,28/05/2023,Instituto de Identificacao / SSP MG,471.385.657-89
Davi Barbosa,Enrico Farias,Marcela Martins,17/07/1983,F,Moura - AP,Fernandes da Serra,MS,Estado de Mato Grosso do Sul,23/02/2020,23/02/2028,Instituto de Identificacao / SSP MS,491.744.243-05
Lorenzo Machado,Alexandre Abreu,Marina Gomes,12/09/1981,M,Cavalcanti - MA,Farias,RS,Estado do Rio Grande do Sul,17/11/2011,17/11/2019,Instituto de Identificacao,827.979.909-05
Marcelo Cardoso,Benicio Siqueira,Clara Andrade,08/08/1981,F,Silva Alegre - AC,Nogueira de da Rocha,PE,Estado de Pernambuco,20/11/2016,20/11/2026,Instituto de Identificacao / SSP PE,604.911.662-08
Vitória Vieira,Danilo Câmara,Nina Ribeiro,24/08/1988,M,Macedo - RN,Silveira,PE,Estado de Pernambuco,31/12/2012,31/12/2022,Instituto de Identificacao / PC PE,324.654.528-15
Pietra Leão,Kevin Fonseca,Lorena Pimenta,15/07/1942,M,Ramos - MS,Pereira,MG,Estado de Minas Gerais,27/02/2018,27/02/2027,Instituto de Identificacao / SSP MG,423.203.646-33
Gael Castro,Pedro Lucas Guerra,Luna Barbosa,15/02/1999,F,da Conceição - ES,Rezende,MG,Estado de Minas Gerais,25/10/2019,25/10/2027,Instituto de Identificacao / SSP MG,787.410.187-01
Valentim Nascimento,Brayan Jesus,Clara Macedo,02/05/1984,M,da Mata de Correia - MA,Siqueira,PR,Estado do Paraná,07/05/2012,07/05/2017,Instituto de Identificacao,052.658.437-44
Larissa Moreira,Enrico Monteiro,Emanuelly Aragão,18/10/1983,M,da Cruz - BA,Gonçalves,MS,Estado de Mato Grosso do Sul,28/02/2014,28/02/2020,Instituto de Identificacao,656.125.220-54
Gabriel Caldeira,Henry Gabriel Camargo,Mariah Montenegro,25/11/1944,M,Vasconcelos Verde - SP,Albuquerque de Pastor,SE,Estado de Sergipe,28/01/2024,28/01/2034,Instituto de Identificacao,577.135.898-12
Maria Liz Lima,Guilherme Moraes,Alice Andrade,06/12/1983,M,Nascimento - PI,Cavalcante de Minas,RJ,Estado do Rio de Janeiro,28/10/2016,28/10/2025,Instituto de Identificacao / SSP RJ,450.606.594-35
Maria Vitória Santos,Liam Moreira,Joana Jesus,30/12/1980,F,Melo - AC,Vargas da Praia,DF,Distrito Federal,03/05/2015,03/05/2022,Instituto de Identificacao / SSP DF,979.188.739-55
Maria Júlia Martins,Théo Novaes,Bianca Nunes,29/09/1973,F,Carvalho da Prata - DF,da Rosa,AL,Estado de Alagoas,04/06/2012,04/06/2018,Instituto de Identificacao / PC AL,514.337.323-72
Mathias Moraes,Ravi Mendes,Rebeca da Rosa,26/04/1990,M,Pastor - TO,Monteiro,AC,Estado do Acre,26/04/2019,26/04/2024,Instituto de Identificacao / PC AC,457.357.858-43
Mateus da Mata,Isaque Farias,Isabel Vieira,04/06/2022,M,Pires - AM,da Costa de Minas,ES,Estado do Espírito Santo,30/05/2011,30/05/2020,Instituto de Identificacao,418.336.651-17
Ana Fernandes,Murilo Nogueira,Eloah Pastor,10/11/1968,M,Freitas - SE,da Mota do Norte,MT,Estado de Mato Grosso,21/02/2014,21/02/2020,Instituto de Identificacao / SSP MT,444.280.905-78
Marcelo Pereira,Bernardo da Paz,Gabriela Porto,17/07/1974,M,Andrade - TO,Marques do Norte,BA,Estado da Bahia,13/07/2011,13/07/2018,Instituto de Identificacao / SSP BA,660.620.518-30
Cauã Albuquerque,Gabriel Souza,Maria Helena Fogaça,25/02/1939,F,Fogaça da Praia - PI,da Mata,MT,Estado de Mato Grosso,01/12/2022,01/12/2027,Instituto de Identificacao / PC MT,930.756.248-20
Murilo Câmara,Alexandre Sales,Eduarda Melo,21/08/1976,M,Vieira - RR,Santos,PB,Estado da Paraíba,27/08/2015,27/08/2023,Instituto de Identificacao / SSP PB,644.478.995-90
Renan Duarte,Ravi Lucca da Paz,Carolina Almeida,13/02/1955,F,Montenegro - DF,Rios,PB,Estado da Paraíba,04/12/2023,04/12/2033,Instituto de Identificacao,152.101.886-21
Isis Carvalho,Rafael Teixeira,Lunna da Paz,09/02/2003,M,Borges da Serra - RR,Oliveira Verde,MT,Estado de Mato Grosso,19/02/2011,19/02/2021,Instituto de Identificacao,615.494.537-00
Maria Flor Siqueira,Davi Lucas Brito,Maria Laura Mendes,08/05/1990,M,Vieira - DF,Costa,RS,Estado do Rio Grande do Sul,11/11/2014,11/11/2023,Instituto de Identificacao,151.315.711-98
Aylla Novais,Kevin Azevedo,Maria Julia da Cruz,06/06/1988,M,Câmara - AP,Lopes,RR,Estado de Roraima,13/02/2012,13/02/2021,Instituto de Identificacao,459.818.455-26
Ana Cunha,Henry Sá,Sarah Carvalho,10/05/2020,M,Vargas de Minas - RR,Monteiro das Flores,ES,Estado do Espírito Santo,16/06/2018,16/06/2023,Instituto de Identificacao,560.253.051-16
Ana Beatriz Lopes,Marcelo Freitas,Joana Teixeira,21/11/1939,F,Monteiro - MT,Jesus Alegre,TO,Estado do Tocantins,17/02/2015,17/02/2023,Instituto de Identificacao / SSP TO,599.387.276-50
Heloisa da Cunha,Breno Sousa,Catarina Nunes,02/04/2023,F,Mendonça - RR,Carvalho Paulista,BA,Estado da Bahia,22/10/2022,22/10/2030,Instituto de Identificacao / SSP BA,902.473.760-05
Luigi Melo,Danilo Vieira,Aylla Alves,06/01/2017,F,da Cunha do Campo - RS,Fogaça,ES,Estado do Espírito Santo,10/06/2018,10/06/2028,Instituto de Identificacao,765.956.286-91
Vitor Gabriel Barros,Yago Azevedo,Bianca Lopes,08/04/1956,M,Ferreira de Melo - RS,Cassiano do Galho,MS,Estado de Mato Grosso do Sul,09/04/2019,09/04/2024,Instituto de Identificacao / PC MS,258.791.241-05
Julia Leão,Levi Rocha,Maria Luiza Rocha,19/02/1963,F,Cardoso de Siqueira - MG,Araújo do Amparo,PR,Estado do Paraná,17/12/2024,17/12/2033,Instituto de Identificacao,110.469.792-65
Maria Farias,Pietro Viana,Bárbara Vasconcelos,25/03/2013,M,Cavalcanti do Amparo - BA,Gonçalves do Norte,DF,Distrito Federal,18/06/2012,18/06/2020,Instituto de Identificacao,449.719.444-49
Pedro Henrique Castro,Brayan Fernandes,Julia Borges,31/10/1959,F,da Conceição de Pimenta - RR,Castro,BA,Estado da Bahia,31/01/2012,31/01/2022,Instituto de Identificacao / SSP BA,296.460.379-29
Antônio Vasconcelos,Yuri Rodrigues,Caroline Porto,04/12/1940,F,Rocha - GO,Cirino,MG,Estado de Minas Gerais,25/05/2024,25/05/2031,Instituto de Identificacao,813.692.342-06
Ian Novaes,Kevin Barbosa,Hellena Ribeiro,07/12/2004,F,Melo da Mata - SC,Lima do Norte,PR,Estado do Paraná,27/07/2011,27/07/2016,Instituto de Identificacao / SSP PR,339.984.530-80
Maria Helena da Rosa,Anthony Monteiro,Mariane Albuquerque,19/06/1942,M,da Cunha - AM,Pires,CE,Estado do Ceará,06/10/2016,06/10/2024,Instituto de Identificacao,411.895.983-06
Nicole Vasconcelos,Alexandre Montenegro,Emanuella Cassiano,01/11/1978,M,da Luz - ES,Cavalcanti da Mata,PB,Estado da Paraíba,18/04/2011,18/04/2018,Instituto de Identificacao / SSP PB,510.423.287-41
Levi Farias,Ravy Cunha,Bella Cavalcanti,26/12/2011,F,Cavalcanti de Araújo - SE,Fogaça,RN,Estado do Rio Grande do Norte,12/06/2017,12/06/2022,Instituto de Identificacao,630.564.666-82
Luísa Pacheco,Kevin Aparecida,Maria Dias,06/11/1942,F,Marques do Oeste - CE,da Rosa,AL,Estado de Alagoas,25/02/2018,25/02/2026,Instituto de Identificacao / PC AL,232.419.789-90
Ana Vitória Cunha,Leonardo Barros,Luana Araújo,07/07/2015,M,Rodrigues - RR,da Paz Alegre,GO,Estado de Goiás,18/05/2025,18/05/2034,Instituto de Identificacao / SSP GO,481.802.330-94
Isabelly Sá,Asafe Pastor,Aylla Lima,22/02/1988,M,Mendes - RR,Borges,ES,Estado do Espírito Santo,25/06/2013,25/06/2023,Instituto de Identificacao,216.824.212-25
Luiz Henrique Souza,Felipe Garcia,Lívia Machado,23/04/1962,F,Castro dos Dourados - PE,Moreira do Norte,ES,Estado do Espírito Santo,02/04/2016,02/04/2021,Instituto de Identificacao,172.270.113-99
Antônio Melo,Davi Miguel Souza,Manuela Caldeira,15/07/1998,M,da Conceição - PI,Borges do Oeste,MA,Estado do Maranhão,27/04/2012,27/04/2019,Instituto de Identificacao / SSP MA,169.218.918-30
Daniel Araújo,Vinicius Cunha,Sarah Fonseca,23/11/1990,M,Rocha - SP,Pacheco,RS,Estado do Rio Grande do Sul,13/02/2015,13/02/2021,Instituto de Identificacao / PC RS,003.759.015-13
Maria Julia da Cruz,Thomas da Mata,Catarina Garcia,08/08/2005,M,da Costa de Costa - ES,Gonçalves das Flores,PR,Estado do Paraná,20/06/2020,20/06/2030,Instituto de Identificacao,979.006.316-13
Luísa Costela,Henrique Oliveira,Isis Siqueira,29/04/1968,M,Cavalcanti do Amparo - SC,Cardoso,ES,Estado do Espírito Santo,28/05/2012,28/05/2021,Instituto de Identificacao / SSP ES,365.190.236-89
Juliana Ramos,Erick Mendes,Kamilly Ramos,11/09/1973,F,Costa - RR,Correia,CE,Estado do Ceará,07/10/2023,07/10/2029,Instituto de Identificacao,915.804.611-09
Lorena Gomes,João Vitor da Luz,Mariana Andrade,23/06/1993,M,Montenegro - RO,da Rocha,SE,Estado de Sergipe,01/02/2021,01/02/2029,Instituto de Identificacao,725.019.869-98
Luiz Otávio Rios,Nicolas Castro,Caroline da Cunha,08/02/1986,M,Câmara - PR,Rocha Grande,PA,Estado do Pará,21/07/2020,21/07/2025,Instituto de Identificacao / SSP PA,230.142.860-97
Matteo Mendes,Otto da Rocha,Isabella Ribeiro,29/06/1989,F,Vieira - RN,Duarte da Serra,ES,Estado do Espírito Santo,31/03/2025,31/03/2033,Instituto de Identificacao / SSP ES,963.895.496-97
Esther Gonçalves,Ravi Lucca Lopes,Ísis Martins,29/05/1962,F,Almeida - BA,Cardoso da Prata,AC,Estado do Acre,20/06/2012,20/06/2021,Instituto de Identificacao / SSP AC,082.635.852-25
João Felipe Mendonça,Kevin Almeida,Catarina Cavalcanti,23/09/1946,F,Campos da Prata - MT,Pinto dos Dourados,AC,Estado do Acre,15/04/2023,15/04/2033,Instituto de Identificacao / PC AC,329.679.629-92
Rebeca da Mata,Heitor Marques,Bella Vasconcelos,19/02/1980,M,Almeida - MT,Vargas,AC,Estado do Acre,28/05/2017,28/05/2022,Instituto de Identificacao,358.527.411-38
Bruno Martins,Dante da Mata,Nina Vargas,19/02/2012,M,Cirino das Flores - MG,Pires,RS,Estado do Rio Grande do Sul,13/02/2018,13/02/2028,Instituto de Identificacao,658.132.489-49
Matheus Freitas,Mateus Pacheco,Giovanna da Rosa,25/09/1991,M,Câmara do Galho - CE,Vargas dos Dourados,GO,Estado de Goiás,03/11/2014,03/11/2020,Instituto de Identificacao,407.943.807-72
Eloá Oliveira,Ryan Siqueira,Anna Liz Vieira,23/11/1956,F,Martins dos Dourados - PI,Vasconcelos Verde,RS,Estado do Rio Grande do Sul,30/05/2022,30/05/2027,Instituto de Identificacao / PC RS,493.071.410-54
Gael Henrique Silveira,Samuel Porto,Maria Luiza Cassiano,09/06/1945,M,Garcia da Prata - AL,Moura,TO,Estado do Tocantins,25/02/2021,25/02/2031,Instituto de Identificacao / SSP TO,887.916.430-09
Ana Julia Cassiano,Vinicius Viana,Letícia da Mata,01/05/1993,F,Macedo de Gonçalves - RS,Pires de Minas,SP,Estado de São Paulo,19/03/2025,19/03/2032,Instituto de Identificacao / SSP SP,276.116.648-23
Melissa Viana,Yan Jesus,Hellena Abreu,03/11/2007,F,Costa - SP,Garcia,CE,Estado do Ceará,27/01/2020,27/01/2030,Instituto de Identificacao / PC CE,569.961.917-62
Aurora Garcia,Lorenzo Leão,Mariana Fogaça,15/08/1989,F,Rezende do Sul - MS,Martins do Campo,MG,Estado de Minas Gerais,29/01/2022,29/01/2027,Instituto de Identificacao,899.929.440-31
Gabriela Vasconcelos,Rodrigo das Neves,Mariana Mendes,10/08/1975,F,Costa do Sul - RN,Montenegro Alegre,PA,Estado do Pará,25/09/2012,25/09/2017,Instituto de Identificacao / SSP PA,816.229.418-73
Maria Helena das Neves,Cauê Costela,Rafaela Santos,25/05/1949,F,Gomes do Galho - AL,Viana,RS,Estado do Rio Grande do Sul,26/08/2012,26/08/2018,Instituto de Identificacao / PC RS,131.602.409-57
João Lucas das Neves,Eduardo Albuquerque,Eloá Cunha,06/07/1949,M,Farias do Oeste - TO,Gonçalves,PB,Estado da Paraíba,23/11/2021,23/11/2029,Instituto de Identificacao / SSP PB,121.055.236-48
Yago Duarte,Joaquim Sousa,Isis Moura,06/06/1986,M,Abreu do Oeste - MA,Rocha Paulista,DF,Distrito Federal,24/07/2024,24/07/2034,Instituto de Identificacao / SSP DF,262.562.139-07
Valentina Monteiro,Carlos Eduardo Camargo,Eloá Pinto,22/12/1996,M,Nunes - RS,Macedo,SE,Estado de Sergipe,17/04/2018,17/04/2026,Instituto de Identificacao / PC SE,918.370.855-59
Theo Pinto,Henrique da Mota,Alice Teixeira,29/11/1941,F,Mendonça da Praia - AL,Oliveira de Campos,ES,Estado do Espírito Santo,21/10/2012,21/10/2017,Instituto de Identificacao / SSP ES,222.837.339-25
Henry Nunes,Lorenzo Cavalcanti,Bruna Gomes,09/07/1943,M,da Rosa - RJ,Moura de Goiás,RO,Estado de Rondônia,20/10/2016,20/10/2021,Instituto de Identificacao / PC RO,173.957.327-70
Ravi Lucca Dias,Antônio Cassiano,Camila Gonçalves,14/09/1983,M,Rocha das Pedras - DF,Borges,PR,Estado do Paraná,18/09/2025,18/09/2033,Instituto de Identificacao,839.017.413-08
José Pedro Caldeira,Vinícius Mendes,Maria Júlia Machado,20/10/2013,F,Costa do Norte - SP,Vargas de Minas,MG,Estado de Minas Gerais,02/03/2021,02/03/2031,Instituto de Identificacao / SSP MG,421.586.898-64
Erick Mendonça,José Pedro Leão,Sara Vargas,03/09/1988,M,Guerra de Vasconcelos - AC,Cunha da Mata,RR,Estado de Roraima,17/03/2021,17/03/2030,Instituto de Identificacao / SSP RR,367.679.841-04
Yuri Lopes,Rodrigo Guerra,Luiza Aparecida,19/02/2006,M,Melo de da Mota - AM,Porto da Serra,AC,Estado do Acre,27/06/2019,27/06/2029,Instituto de Identificacao / SSP AC,264.310.597-87
Bryan Correia,José Miguel Marques,Ana Câmara,23/11/1973,F,Costela - RN,Cavalcanti do Galho,PE,Estado de Pernambuco,08/09/2017,08/09/2027,Instituto de Identificacao / SSP PE,072.214.539-00
Camila Ferreira,Raul Mendes,Manuella da Paz,09/04/2022,M,Mendonça da Serra - AL,Abreu,SP,Estado de São Paulo,30/03/2018,30/03/2024,Instituto de Identificacao / SSP SP,212.720.589-08
Valentina Siqueira,Apollo Sousa,Ana Laura Mendonça,10/07/1940,M,Novaes de da Rocha - RS,Silveira do Galho,SE,Estado de Sergipe,14/05/2012,14/05/2020,Instituto de Identificacao,227.529.189-00
João Lucas Camargo,Vitor Gabriel da Paz,Alice Machado,27/10/2013,F,Cirino do Oeste - AL,Fernandes Grande,AP,Estado do Amapá,27/01/2014,27/01/2019,Instituto de Identificacao,675.293.444-40
Gustavo Henrique Martins,Ravi Marques,Pietra da Cruz,26/06/1970,F,Alves de Montenegro - AM,da Cruz,BA,Estado da Bahia,04/04/2023,04/04/2033,Instituto de Identificacao / SSP BA,482.347.395-80
Maria Sophia Campos,Davi da Cunha,Luísa Sousa,05/06/1980,F,Jesus - MT,Aragão,SC,Estado de Santa Catarina,10/06/2024,10/06/2033,Instituto de Identificacao / PC SC,986.396.220-20
Theo da Cunha,Cauã Cunha,Ana Lívia Abreu,12/10/1948,M,Cavalcante - AC,Almeida,MT,Estado de Mato Grosso,13/07/2022,13/07/2031,Instituto de Identificacao,153.208.886-53
Ana Júlia Pereira,Erick Novaes,Olivia Macedo,17/09/2009,M,Oliveira - PI,Dias,MG,Estado de Minas Gerais,25/12/2019,25/12/2028,Instituto de Identificacao,103.931.544-23
Manuela Andrade,Murilo Rezende,Isabella Ribeiro,11/04/2003,M,Pinto - MS,das Neves,SC,Estado de Santa Catarina,16/08/2012,16/08/2019,Instituto de Identificacao / PC SC,939.336.295-05
Yasmin Moraes,Luiz Henrique Abreu,Maria Eduarda Macedo,05/09/2005,M,Moura - PI,Alves,PB,Estado da Paraíba,06/02/2023,06/02/2031,Instituto de Identificacao,830.966.068-79
Francisco Mendes,Leandro Pires,Melina Aragão,04/09/1975,M,da Luz - BA,Cunha,RO,Estado de Rondônia,18/05/2021,18/05/2027,Instituto de Identificacao,238.040.508-23
Sarah Rocha,Cauã Lopes,Ana Liz Carvalho,20/11/1995,F,Nogueira Paulista - AC,Nascimento do Sul,TO,Estado do Tocantins,21/08/2011,21/08/2016,Instituto de Identificacao / SSP TO,139.419.886-26
Cauê Silveira,Gustavo Vargas,Ayla Vieira,20/12/1954,M,Borges - MG,Pereira,RJ,Estado do Rio de Janeiro,31/12/2017,31/12/2024,Instituto de Identificacao,818.377.971-54
Gabriel Sá,Paulo Barros,Vitória Oliveira,06/04/2005,F,Vieira - RJ,Garcia,AL,Estado de Alagoas,07/04/2025,07/04/2033,Instituto de Identificacao,883.648.797-66
José Moreira,João Correia,Emilly da Rocha,23/09/1986,M,da Conceição - AC,Dias,AM,Estado do Amazonas,08/08/2024,08/08/2033,Instituto de Identificacao / SSP AM,059.993.482-96
João Pedro Siqueira,Murilo Azevedo,Ester Dias,30/06/1965,F,Campos de Peixoto - MA,Fernandes do Norte,AC,Estado do Acre,02/08/2012,02/08/2019,Instituto de Identificacao / SSP AC,188.944.996-58
Hadassa Novaes,Caleb Cunha,Mariana Cavalcante,30/09/1935,M,Sales - MS,Aragão dos Dourados,SE,Estado de Sergipe,03/09/2025,03/09/2033,Instituto de Identificacao / SSP SE,940.056.812-89
Ana Julia Pires,Mateus Campos,Isabel Cirino,17/09/1971,F,Fogaça - SP,Albuquerque do Oeste,PI,Estado do Piauí,01/02/2021,01/02/2030,Instituto de Identificacao / PC PI,388.159.791-03
Raquel Albuquerque,Vinicius da Rocha,Stella Fernandes,17/01/2002,F,Cavalcante - PI,Brito do Oeste,DF,Distrito Federal,18/08/2023,18/08/2031,Instituto de Identificacao,240.338.075-91
Cauê Barbosa,Dante da Rosa,Laura Costa,02/10/1984,F,da Cunha de Rodrigues - PI,Fogaça,PE,Estado de Pernambuco,12/12/2024,12/12/2031,Instituto de Identificacao / PC PE,866.632.755-77
André Vasconcelos,Vitor Cavalcanti,Ana Laura Pacheco,12/12/1958,M,Cavalcanti - AP,Sampaio,CE,Estado do Ceará,07/12/2010,07/12/2016,Instituto de Identificacao / SSP CE,037.388.350-57
Larissa Vieira,Bento Camargo,Maria Flor Alves,19/08/1977,F,Pacheco da Serra - RS,Cunha da Mata,DF,Distrito Federal,02/03/2021,02/03/2029,Instituto de Identificacao / SSP DF,642.826.967-35
Levi Araújo,João Lucas Novais,Sophie Silveira,07/06/1972,M,Cirino - AM,da Costa,SC,Estado de Santa Catarina,26/10/2016,26/10/2025,Instituto de Identificacao,241.937.809-01
Sarah Silveira,Ravi Lucca Teixeira,Ana Liz Novaes,19/05/1944,M,Ribeiro - MG,da Cruz das Flores,PI,Estado do Piauí,30/05/2020,30/05/2026,Instituto de Identificacao,637.789.884-86
Davi Lucca Fonseca,Luiz Otávio da Costa,Maria Flor Ramos,09/06/2005,F,Rezende de Sales - MT,Gomes de Novaes,AP,Estado do Amapá,30/06/2025,30/06/2033,Instituto de Identificacao / PC AP,504.215.074-45
Ágatha Monteiro,Luan da Mota,Rebeca Ribeiro,17/04/2007,M,Almeida de Melo - GO,Camargo,TO,Estado do Tocantins,13/10/2025,13/10/2033,Instituto de Identificacao / SSP TO,121.937.496-02
Thomas Silva,Davi Luiz da Rosa,Luara da Conceição,01/08/1986,M,Albuquerque de Pacheco - RS,Santos da Mata,DF,Distrito Federal,02/05/2018,02/05/2024,Instituto de Identificacao / PC DF,556.338.059-90
Milena Aragão,Vitor Gabriel Viana,Clara Almeida,29/03/2007,F,Porto de Goiás - DF,Rezende,AL,Estado de Alagoas,17/02/2011,17/02/2016,Instituto de Identificacao / SSP AL,054.216.062-97
Leandro Nogueira,Alexandre Cavalcanti,Maria Isis Machado,29/05/1958,M,da Luz - AC,Viana,RJ,Estado do Rio de Janeiro,16/11/2010,16/11/2018,Instituto de Identificacao,945.868.940-42
Joaquim Fogaça,Raul Barros,Kamilly Almeida,24/03/1988,F,Dias - RJ,Pires,ES,Estado do Espírito Santo,03/04/2014,03/04/2024,Instituto de Identificacao / PC ES,174.637.244-86
Kamilly Aragão,Benjamin Ferreira,Ana Luiza Caldeira,07/01/1957,F,Macedo - MT,da Conceição,AP,Estado do Amapá,04/09/2013,04/09/2018,Instituto de Identificacao / SSP AP,875.123.660-05
Allana da Rocha,Davi Lucas Novais,Antonella Ribeiro,26/12/1997,M,Gonçalves Paulista - MG,Nascimento do Sul,PB,Estado da Paraíba,20/11/2016,20/11/2023,Instituto de Identificacao / SSP PB,426.799.502-80
Hadassa Teixeira,Matteo da Cunha,Maria Fernanda Melo,04/06/2022,M,Cardoso - MA,Lima,RN,Estado do Rio Grande do Norte,28/06/2012,28/06/2021,Instituto de Identificacao / PC RN,939.999.712-28
Carlos Eduardo Marques,Ryan Peixoto,Daniela Ribeiro,04/06/2014,M,Mendonça Grande - RR,Lima de Goiás,RO,Estado de Rondônia,04/10/2016,04/10/2025,Instituto de Identificacao,776.771.102-66
Matteo Cunha,Dante Correia,Mariana Pacheco,25/02/1951,M,Mendes de Gonçalves - PA,Camargo,MA,Estado do Maranhão,05/01/2017,05/01/2026,Instituto de Identificacao,686.481.614-10
Isabelly Alves,Theo Pereira,Isis Farias,12/07/1956,M,Machado - MS,Teixeira,AC,Estado do Acre,26/05/2011,26/05/2021,Instituto de Identificacao,564.002.571-63
João Pedro Fogaça,Rhavi Garcia,Vitória Cardoso,12/05/1949,F,Moraes de Minas - RS,Rodrigues da Mata,PB,Estado da Paraíba,23/02/2025,23/02/2035,Instituto de Identificacao,707.719.421-86
Luiz Otávio Melo,Ravi Lucca da Mota,Maria Isis Fogaça,03/08/1954,F,Santos de Pimenta - MG,Câmara,PE,Estado de Pernambuco,20/03/2013,20/03/2022,Instituto de Identificacao,837.887.989-60
Cauê Novaes,José Pedro Vieira,Ana Carolina Aragão,14/11/1965,F,das Neves - CE,Cavalcante de Minas,RR,Estado de Roraima,09/01/2011,09/01/2021,Instituto de Identificacao,585.544.187-68
João Miguel Silveira,Ravi Lucca Monteiro,Pietra da Rocha,23/11/1936,F,Camargo - PR,Silveira,BA,Estado da Bahia,24/06/2019,24/06/2025,Instituto de Identificacao,872.307.352-07
Pietra Machado,João Monteiro,Melissa da Paz,20/09/2012,F,Silva das Pedras - BA,Cavalcanti,SE,Estado de Sergipe,21/04/2023,21/04/2029,Instituto de Identificacao / PC SE,510.391.199-46
João Felipe Pacheco,Vitor Hugo Mendonça,Ana Lívia Abreu,06/10/1969,M,Rodrigues do Campo - AC,Borges,MA,Estado do Maranhão,08/06/2016,08/06/2026,Instituto de Identificacao,496.414.071-07
Cecília Rios,Bryan da Luz,Maysa Aparecida,13/08/2006,M,Viana do Norte - MS,Ferreira do Sul,RN,Estado do Rio Grande do Norte,29/04/2025,29/04/2035,Instituto de Identificacao,802.543.820-01
Agatha Pereira,José Miguel Borges,Manuella Aparecida,04/07/1980,F,Vieira - SE,Lima dos Dourados,AL,Estado de Alagoas,27/10/2024,27/10/2031,Instituto de Identificacao,610.300.483-07
Ana Júlia Andrade,Ian Fogaça,Carolina Machado,12/06/1945,F,Lopes - PI,Casa Grande de Machado,RJ,Estado do Rio de Janeiro,06/09/2013,06/09/2021,Instituto de Identificacao / PC RJ,386.335.549-29
Ana Cecília Costa,Otto Duarte,Clarice da Costa,21/04/1996,M,Marques - MA,da Costa,AM,Estado do Amazonas,04/01/2014,04/01/2022,Instituto de Identificacao / PC AM,793.626.245-80
Ayla Marques,Mateus Nogueira,Lívia Alves,14/04/2021,F,Freitas - SE,Porto,RJ,Estado do Rio de Janeiro,19/06/2014,19/06/2020,Instituto de Identificacao,202.967.561-46
Diego da Luz,Davi Barros,Allana Lopes,15/08/1956,F,Jesus - RO,Souza do Norte,AL,Estado de Alagoas,26/02/2023,26/02/2030,Instituto de Identificacao,777.418.526-07
Maria Fernanda da Paz,Dom Santos,Isis Lima,08/08/1963,M,Peixoto - ES,Costela de Castro,PA,Estado do Pará,23/10/2016,23/10/2022,Instituto de Identificacao / PC PA,797.113.735-31
Yago Oliveira,Yan Fogaça,Sophie Macedo,23/01/1959,F,Abreu - MS,Siqueira do Galho,AM,Estado do Amazonas,12/08/2020,12/08/2027,Instituto de Identificacao,096.501.183-60
Isabela da Conceição,Gustavo Henrique Guerra,Yasmin Duarte,18/07/1990,F,Cardoso - AC,Lopes,CE,Estado do Ceará,15/05/2019,15/05/2025,Instituto de Identificacao,069.172.850-46
Caroline Ramos,Guilherme Macedo,Ana Julia Cavalcante,24/08/1961,M,Souza - SC,Sampaio Verde,RR,Estado de Roraima,06/04/2021,06/04/2031,Instituto de Identificacao / SSP RR,792.669.987-73
João Fogaça,José Miguel Castro,Caroline da Rocha,22/09/2007,M,Barros de da Paz - SC,Cunha do Norte,MS,Estado de Mato Grosso do Sul,15/02/2013,15/02/2019,Instituto de Identificacao / PC MS,216.046.840-01
João Vitor Viana,João Gabriel Brito,Helena Pastor,19/05/1989,F,da Cruz - AC,Vargas,PR,Estado do Paraná,29/12/2021,29/12/2028,Instituto de Identificacao / PC PR,384.907.458-07
José Gonçalves,João Felipe da Rocha,Ana Lívia Jesus,16/01/2007,F,Cavalcanti da Serra - GO,Fogaça Grande,SE,Estado de Sergipe,04/03/2025,04/03/2034,Instituto de Identificacao,810.142.196-21
Ester da Luz,Lucas Câmara,Julia Duarte,11/07/1985,M,Fernandes - SC,Moreira de da Rosa,RN,Estado do Rio Grande do Norte,01/04/2022,01/04/2032,Instituto de Identificacao,925.473.623-33
Calebe Aragão,Luiz Fernando Camargo,Alice Ribeiro,19/04/1966,M,Gomes - SE,Rodrigues Alegre,SE,Estado de Sergipe,15/03/2021,15/03/2026,Instituto de Identificacao,850.414.509-68
Larissa Pacheco,Yan Aparecida,Maria Luísa Guerra,04/04/2011,M,Sampaio do Campo - PA,Ramos,PE,Estado de Pernambuco,13/09/2019,13/09/2029,Instituto de Identificacao / SSP PE,995.141.387-38
Davi Lucca Caldeira,Vitor Hugo Pacheco,Julia Rios,04/07/1946,M,Pinto das Pedras - PR,Moraes do Norte,MA,Estado do Maranhão,05/01/2014,05/01/2020,Instituto de Identificacao,839.210.356-87
Daniel Rocha,João Barros,Maitê Nascimento,11/07/1975,M,Fernandes Paulista - AP,Novaes do Oeste,GO,Estado de Goiás,21/02/2011,21/02/2018,Instituto de Identificacao / PC GO,384.146.219-16
